date,ad_male,yearling_male,ad_female,yearling_female,yearling,calf,unknown,ids,collars,total
11/5/2017,0,0,1,0,1,0,0,FO2017010,1,2
11/6/2017,0,0,2,0,0,0,1,NA,0,3
11/6/2017,0,0,3,0,0,0,1,NA,0,4
6/11/2017,0,0,1,0,0,1,0,NA,0,2
7/11/2017,0,0,1,0,0,1,0,NA,0,2
11/25/2017,0,0,1,0,0,0,0,NA,0,1
11/25/2017,0,0,1,0,0,0,0,NA,0,1
11/25/2017,0,0,0,0,2,0,0,NA,0,2
11/25/2017,0,0,0,0,0,0,0,NA,0,0
11/25/2017,1,0,2,0,1,0,0,NA,0,4
11/26/2017,0,0,1,0,0,1,0,FO2016015 & ,1,2
11/26/2017,0,0,6,0,2,0,0,FO2017011,1,8
11/26/2017,0,0,1,0,0,0,0,NA,0,1
11/27/2017,1,0,0,0,0,0,0,NA,0,1
11/27/2017,0,1,1,1,0,0,0,FO2016003,1,3
11/27/2017,1,0,0,0,0,0,0,NA,0,1
11/27/2017,0,0,0,0,0,0,1,NA,0,1
11/27/2017,0,0,1,0,1,0,0,FO2016009,1,2
11/27/2017,1,0,1,0,3,0,0,FO2016011,1,5
11/28/2017,1,0,5,0,2,0,0,FO2017002,1,8
11/28/2017,0,0,0,0,1,0,0,NA,0,1
11/28/2017,0,0,1,0,0,0,0,NA,0,1
11/29/2017,0,0,1,0,3,0,0,FO2016003,1,4
6/12/2017,0,0,7,0,0,7,0,FO2016010 & FO207016 & ,2,14
6/12/2017,0,0,5,0,0,3,0,FO2017011 & ,1,8
6/12/2017,0,0,1,0,0,0,0,NA,0,1
6/12/2017,0,0,2,0,0,0,0,NA,0,2
6/13/2017,0,2,0,0,0,0,0,NA,0,2
5/26/2017,0,0,1,0,0,0,0,FO2016015,1,1
5/26/2017,0,0,2,0,1,0,0,FO2016015,1,3
5/26/2017,0,0,1,0,0,0,0,FO2016005,1,1
5/26/2017,0,0,0,0,1,0,0,NA,0,1
5/26/2017,0,0,1,0,1,1,0,FO2016004 & ,1,3
5/26/2017,0,0,1,0,0,0,0,NA,0,1
5/26/2017,0,0,1,0,0,0,0,NA,0,1
5/26/2017,0,0,1,0,0,0,0,NA,0,1
5/26/2017,0,0,3,0,0,0,0,FO2017011,1,3
5/26/2017,0,0,1,0,0,0,0,NA,0,1
5/26/2017,0,0,0,0,0,1,0,NA,0,1
5/27/2017,1,0,3,0,0,1,0,FO2016004 & ,1,5
5/27/2017,0,0,1,0,0,0,2,FO2016008,1,3
5/27/2017,0,0,1,0,0,1,0,,0,2
5/27/2017,0,0,1,0,0,1,0,,0,2
5/28/2017,1,0,1,0,0,0,0,NA,0,2
5/28/2017,2,2,9,6,0,0,0,FO2016010 & FO207016 &  & ,2,19
5/28/2017,2,0,2,0,0,0,2,NA,0,6
5/29/2017,1,1,3,0,0,2,0,FO2016003,1,7
5/29/2017,1,1,4,0,0,2,0,FO2016004 & ,1,8
5/29/2017,0,0,2,0,0,1,0,FO2017012,1,3
5/29/2017,1,3,4,0,0,2,0,NA,0,10
5/29/2017,0,1,1,0,0,0,0,FO2017004,1,2
6/29/2017,0,0,1,0,0,0,0,FO2017004,1,1
6/29/2017,0,0,1,0,0,0,0,FO2017014,1,1
6/29/2017,0,0,1,0,0,0,0,NA,0,1
6/29/2017,0,0,1,0,0,0,0,FO2016009,1,1
4/30/2017,0,0,2,0,1,2,0,NA,0,5
5/30/2017,0,0,2,0,0,0,0,NA,0,2
5/30/2017,0,0,0,0,0,0,5,NA,0,5
5/30/2017,0,0,0,0,0,0,2,NA,0,2
5/30/2017,1,2,9,0,0,3,0,FO2016009 & FO2016012 & FO2017010,3,15
5/30/2017,0,0,4,0,0,1,0,NA,0,5
5/30/2017,2,0,8,2,0,2,0,FO2016005 & FO2017010 & FO2016012,3,14
5/30/2017,2,2,13,0,0,7,0,FO2016010 & FO207016 &  & ,2,24
5/30/2017,6,0,7,0,0,0,37,FO2016005 & FO2016006 & FO2016009 & FO2016013 & FO2017008 & FO2017009 & FO2017012 & FO2017027,8,50
5/30/2017,4,0,8,0,1,7,6,FO2016010 & FO207016 &  & ,2,26
5/30/2017,6,0,6,0,1,2,9,FO2017012 & FO2016013,2,24
5/30/2017,0,0,10,0,1,3,0,NA,0,14
5/30/2017,0,0,2,0,0,1,0,NA,0,3
5/30/2017,0,0,2,0,0,2,0,FO2016003,1,4
5/30/2017,0,0,2,0,0,1,0,FO2017014,1,3
5/30/2017,0,0,1,0,0,1,0,NA,0,2
5/30/2017,0,0,1,0,0,1,0,FO2016011,1,2
6/30/2017,0,0,1,0,0,1,0,FO2016011,1,2
6/30/2017,0,0,2,0,0,2,0,FO2017002,1,4
6/30/2017,0,0,1,0,0,0,0,FO2017013,1,1
6/30/2017,1,0,0,0,0,0,0,NA,0,1
8/30/2017,1,0,4,0,2,0,0,NA,0,7
8/30/2017,0,0,0,0,1,0,0,NA,0,1
8/30/2017,0,0,1,0,0,0,0,NA,0,1
5/31/2017,0,0,3,0,2,2,0,FO2017002,1,7
5/31/2017,1,0,1,0,0,1,0,FO2017013,1,3
5/31/2017,0,0,2,0,0,1,0,FO2017014,1,3
5/31/2017,1,0,3,0,0,2,0,NA,0,6
5/31/2017,2,0,0,0,0,7,20,NA,0,29
5/31/2017,0,0,1,0,4,0,12,FO2016006,1,17
5/31/2017,2,0,0,0,0,0,1,NA,0,3
5/31/2017,0,0,0,0,0,0,4,NA,0,4
11/2/2018,NA,NA,3,NA,2,NA,NA,"FO2016010, ",1,5
11/2/2018,NA,NA,1,NA,1,NA,NA,NA,0,2
11/3/2018,2,NA,NA,NA,NA,NA,1,NA,0,3
11/3/2018,NA,NA,1,NA,NA,NA,NA,FO2016003,1,1
11/3/2018,NA,NA,2,NA,4,NA,NA,F02016014,0,6
11/3/2018,NA,NA,2,NA,3,NA,NA,NA,0,5
11/3/2018,NA,NA,1,NA,1,NA,NA,NA,0,2
11/4/2018,1,NA,NA,NA,NA,NA,NA,NA,0,1
11/4/2018,NA,NA,1,NA,NA,NA,NA,NA,0,1
11/4/2018,NA,1,NA,NA,NA,NA,NA,NA,0,1
11/5/2018,NA,NA,1,NA,NA,NA,NA,NA,0,1
11/5/2018,NA,NA,NA,NA,2,NA,NA,NA,0,2
5/19/2018,NA,NA,NA,NA,NA,NA,2,NA,0,2
5/19/2018,4,NA,10,NA,NA,3,11,NA,0,28
5/19/2018,6,NA,2,NA,NA,NA,6,"FO2016013, FO2017012",2,14
5/29/2018,10,NA,5,NA,2,5,14,", FO2016006, FO2016007, FO2016012, FO2017010, FO2017001",5,36
5/30/2018,NA,NA,1,NA,NA,NA,NA,FO2016014,1,1
5/30/2018,NA,NA,3,NA,NA,NA,NA,"FO2016014, FO2016009, FO2016002",3,3
5/30/2018,NA,NA,NA,NA,2,NA,NA,NA,0,2
5/31/2018,1,NA,2,NA,2,NA,NA,NA,0,5
5/31/2018,2,NA,6,NA,NA,3,21,"FO2017001, FO2017010, FO2017012, FO2016007, FO2016013, FO2016012",6,32
5/31/2018,3,NA,NA,NA,NA,3,NA,", ",0,6
5/31/2018,NA,NA,3,NA,NA,NA,NA,FO2018002,1,3
5/31/2018,NA,NA,1,NA,NA,1,NA,FO2016015,1,2
5/31/2018,3,NA,NA,NA,NA,NA,6,NA,0,9
5/31/2018,1,NA,7,NA,NA,2,NA,"FO2016012, FO2016014",2,10
5/31/2018,NA,NA,1,NA,NA,NA,NA,FO2016005,1,1
6/1/2018,NA,NA,2,NA,NA,1,NA,NA,0,3
6/1/2018,1,NA,NA,NA,NA,NA,NA,NA,0,1
6/1/2018,1,1,NA,NA,1,NA,NA,FO2017002,1,3
6/1/2018,NA,NA,NA,NA,2,NA,NA,NA,0,2
6/1/2018,2,NA,NA,NA,NA,NA,NA,NA,0,2
6/1/2018,NA,NA,NA,NA,2,NA,NA,NA,0,2
6/1/2018,NA,NA,NA,NA,1,NA,NA,NA,0,1
6/1/2018,1,NA,NA,NA,NA,NA,NA,NA,0,1
6/1/2018,NA,NA,1,NA,2,NA,NA,NA,0,3
6/1/2018,NA,NA,1,NA,NA,1,NA,FO2017004,1,2
6/2/2018,NA,NA,2,NA,3,NA,NA,FO2016014,1,5
6/2/2018,NA,NA,1,NA,NA,1,NA,FO2017003,1,2
6/2/2018,NA,NA,1,NA,5,NA,NA,FO2017006,1,6
6/2/2018,NA,NA,1,NA,5,NA,NA,FO2018002,1,6
6/2/2018,NA,NA,1,NA,2,NA,NA,FO2018002,1,3
6/3/2018,NA,NA,NA,1,NA,NA,NA,NA,0,1
6/3/2018,NA,NA,1,NA,NA,NA,NA,NA,0,1
6/3/2018,NA,NA,1,NA,2,NA,NA,NA,0,3
6/3/2018,NA,NA,NA,NA,1,NA,NA,NA,0,1
6/3/2018,NA,NA,NA,NA,1,NA,NA,NA,0,1
6/3/2018,NA,NA,7,NA,NA,6,NA,"FO2016010, FO2016015, ",2,13
6/4/2018,1,NA,NA,NA,NA,NA,NA,NA,0,1
6/4/2018,NA,NA,1,NA,NA,1,NA,NA,0,2
6/4/2018,NA,NA,1,NA,NA,NA,NA,NA,0,1
6/5/2018,NA,NA,1,NA,NA,1,NA,NA,0,2
6/5/2018,NA,NA,NA,NA,1,NA,NA,NA,0,1
6/5/2018,NA,NA,1,NA,NA,NA,NA,NA,0,1
6/5/2018,NA,NA,2,NA,NA,NA,NA,FO2017008,1,2
6/5/2018,NA,NA,2,NA,NA,2,NA,FO2017009,1,4
6/5/2018,NA,NA,1,NA,NA,1,NA,NA,0,2
6/5/2018,NA,NA,4,NA,NA,3,NA,NA,0,7
6/6/2018,NA,NA,3,NA,NA,3,NA,"FO2016004, ",1,6
6/7/2018,NA,NA,1,NA,NA,NA,NA,NA,0,1
6/7/2018,NA,NA,2,NA,NA,2,NA,"FO2017007, FO2017012, ",2,4
6/7/2018,NA,NA,3,NA,NA,3,NA,FO2016004,1,6
6/7/2018,NA,NA,NA,NA,2,NA,NA,NA,0,2
6/7/2018,NA,NA,1,NA,NA,1,NA,"FO2016010, ",1,2
6/7/2018,NA,NA,1,NA,NA,1,NA,FO2016004,1,2
6/7/2018,NA,NA,1,NA,NA,NA,NA,FO2017012,1,1
6/7/2018,1,NA,NA,NA,NA,NA,NA,NA,0,1
6/7/2018,7,1,10,1,NA,3,4,"FO2016013, FO2016007, , ",2,26
6/7/2018,NA,NA,2,NA,NA,NA,NA,"FO2018001, FO2018002",2,2
6/8/2018,7,1,5,1,NA,2,4,"FO2016013, FO2016007, , ",2,20
6/8/2018,3,NA,1,NA,NA,2,10,FO2016004,1,16
6/8/2018,NA,NA,4,NA,NA,1,NA,"FO2016014, FO2016009, FO2016002",3,5
6/8/2018,1,NA,2,NA,2,NA,NA,FO2016013,1,5
6/8/2018,3,NA,3,NA,NA,NA,18,"FO2016012, FO2016013, FO2017012, ",3,24
6/8/2018,NA,3,7,NA,NA,4,5,"FO2017007, FO2017027",2,19
6/8/2018,NA,NA,NA,NA,NA,NA,3,NA,0,3
